mapping_type	predicate	biolink_predicate	object_aspect_qualifier	object direction qualifier	qualified_predicate
exact	SIO:000008	biolink:has_attribute			
close	OBI:0001927	biolink:has_attribute			
narrow	LOINC:has_scale	biolink:has_attribute			
narrow	RO:0000086	biolink:has_attribute			
narrow	orphanet:C017	biolink:has_attribute			
narrow	SNOMED:has_count_of_base_of_active_ingredient	biolink:has_attribute			
narrow	SNOMED:has_interpretation	biolink:has_attribute			
narrow	NCIT:has_data_element	biolink:has_attribute			
narrow	OMIM:has_inheritance_type	biolink:has_attribute			
narrow	SNOMED:has_measurement_method	biolink:has_attribute			
narrow	SNOMED:has_clinical_course	biolink:has_attribute			
narrow	OBAN:association_has_object_property	biolink:has_attribute			
narrow	LOINC:has_suffix	biolink:has_attribute			
narrow	LOINC:has_exam	biolink:has_attribute			
narrow	SNOMED:has_method	biolink:has_attribute			
narrow	SNOMED:has_severity	biolink:has_attribute			
narrow	SNOMED:has_dose_form_transformation	biolink:has_attribute			
narrow	orphanet:C016	biolink:has_attribute			
narrow	SNOMED:has_dose_form_release_characteristic	biolink:has_attribute			
narrow	NCIT:has_pharmaceutical_administration_method	biolink:has_attribute			
narrow	NCIT:has_pharmaceutical_release_characteristics	biolink:has_attribute			
narrow	SNOMED:has_subject_relationship_context	biolink:has_attribute			
narrow	CPT:has_possibly_included_panel_element	biolink:has_attribute			
narrow	LOINC:has_time_aspect	biolink:has_attribute			
narrow	SNOMED:has_revision_status	biolink:has_attribute			
narrow	LOINC:has_modality_subtype	biolink:has_attribute			
narrow	EFO:is_executed_in	biolink:has_attribute			
narrow	SNOMED:has_temporal_context	biolink:has_attribute			
narrow	LOINC:has_approach_guidance	biolink:has_attribute			
narrow	SNOMED:has_finding_context	biolink:has_attribute			
narrow	LOINC:has_time_modifier	biolink:has_attribute			
narrow	SNOMED:has_inherent_attribute	biolink:has_attribute			
narrow	NCIT:role_has_range	biolink:has_attribute			
narrow	SNOMED:has_dose_form_administration_method	biolink:has_attribute			
narrow	UMLS:has_supported_concept_relationship	biolink:has_attribute			
narrow	LOINC:has_divisor	biolink:has_attribute			
