mapping_type	predicate	biolink_predicate	object_aspect_qualifier	object direction qualifier	qualified_predicate
exact	SEMMEDDB:AUGMENTS	biolink:affects	activity or abundance	increased	biolink:causes
exact	CTD:affects_abundance_of	biolink:affects	abundance		
exact	CTD:increases_abundance_of	biolink:affects	abundance	increased	biolink:causes
exact	CTD:decreases_abundance_of	biolink:affects	abundance	decreased	biolink:causes
exact	CTD:affects_activity_of	biolink:affects	activity		
exact	DGIdb:modulator	biolink:affects	activity		
exact	CTD:increases_activity_of	biolink:affects	activity	increased	biolink:causes
exact	CHEMBL.MECHANISM:releasing_agent	biolink:affects	activity	increased	biolink:causes
exact	CHEMBL.MECHANISM:opener	biolink:affects	activity	increased	biolink:causes
exact	DGIdb:agonist	biolink:affects	activity	increased	biolink:causes
exact	DGIdb:activator	biolink:affects	activity	increased	biolink:causes
exact	CHEMBL.MECHANISM:positive_modulator	biolink:affects	activity	increased	biolink:causes
narrow	DGIdb:partial_agonist	biolink:affects	activity	increased	biolink:causes
narrow	SEMMEDDB:STIMULATES	biolink:affects	activity	increased	biolink:causes
exact	SEMMEDDB:INHIBITS	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:channel_blocker	biolink:affects	activity	decreased	biolink:causes
exact	GAMMA:ki	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:negative_modulator	biolink:affects	activity	decreased	biolink:causes
exact	CHEMBL.MECHANISM:negative_modulator	biolink:affects	activity	decreased	biolink:causes
exact	CHEMBL.MECHANISM:negative_allosteric_modulator	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:antagonist	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:vaccine	biolink:affects	activity	decreased	biolink:causes
exact	CTD:decreases_activity_of	biolink:affects	activity	decreased	biolink:causes
exact	CHEMBL.MECHANISM:blocker	biolink:affects	activity	decreased	biolink:causes
exact	GAMMA:ic50	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:gating_inhibitor	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:blocker	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:inverse_agonist	biolink:affects	activity	decreased	biolink:causes
exact	CHEMBL.MECHANISM:antisense_inhibitor	biolink:affects	activity	decreased	biolink:causes
exact	CHEMBL.MECHANISM:inhibitor	biolink:affects	activity	decreased	biolink:causes
exact	DGIdb:inhibitor	biolink:affects	activity	decreased	biolink:causes
exact	CTD:affects_expression_of	biolink:affects	expression		
exact	GTEx:affects_expression_in	biolink:affects	expression		
exact	RO:0003003	biolink:affects	expression	increased	biolink:causes
exact	CTD:increases_expression_of	biolink:affects	expression	increased	biolink:causes
exact	RO:0003002	biolink:affects	expression	decreased	biolink:causes
exact	CTD:decreases_expression_of	biolink:affects	expression	decreased	biolink:causes
exact	CTD:affects_folding_of	biolink:affects	folding		
exact	CTD:increases_folding_of	biolink:affects	folding	increased	biolink:causes
